"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
10002,"15","Napo","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","49","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"22","Orellana","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","19","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"06","Chimborazo","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","8","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"07","El Oro","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","182","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"08","Esmeraldas","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","124","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"21","Sucumbios","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","49","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"14","Morona Santiago","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","46","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"11","Loja","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","17","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"19","Zamora Chinchipe","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","4","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"04","Carchi","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","4","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"01","Azuay","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","39","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"03","Cañar","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","27","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"10","Imbabura","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","29","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"09","Guayas","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","1228","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"12","Los Ríos","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","133","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"02","Bolívar","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","7","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"24","Santa Elena","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","226","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"20","Galápagos","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","3","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"23","Sto Dgo Tsáchilas","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","55","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"13","Manabí","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","79","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"18","Tungurahua","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","182","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"16","Pastaza","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","17","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"05","Cotopaxi","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","37","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"00","Total Nacional","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","3113","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,3,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"23","Sto Dgo Tsáchilas","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","32","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"08","Esmeraldas","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","135","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"10","Imbabura","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","39","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"13","Manabí","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","98","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"11","Loja","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","30","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"07","El Oro","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","149","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"17","Pichincha","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","452","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"18","Tungurahua","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","175","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"05","Cotopaxi","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","43","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"16","Pastaza","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","30","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"19","Zamora Chinchipe","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","3","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"12","Los Ríos","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","266","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"02","Bolívar","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","49","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
10002,"09","Guayas","0000","Total Nacional","Ecuador","Igualdad de género","Violencia de género","Emergencias coordinadas en servicio de seguridad ciudadana - Violencia intrafamiliar","Total","Total","1238","No Aplica","Reporte de emergencias en el servicio de Seguridad Ciudadana. Corresponde al subtipo ""Violencia intrafamiliar"".",2022,2,"ECU 911","Emergencias","Personas","ODS 5, 16"
